cityId,stateId,en_name,lat,lng,state_name,country_name
503,1,Hiswella,7.021559,80.160869,Western,Sri Lanka
504,1,Horampella,7.185188,79.976771,Western,Sri Lanka
505,1,Hunumulla,7.244925,79.996921,Western,Sri Lanka
506,1,Hunupola,7.111463,80.130625,Western,Sri Lanka
507,1,Ihala Madampella,7.250345,79.960941,Western,Sri Lanka
508,1,Imbulgoda,7.035,79.9931,Western,Sri Lanka
509,1,Ja-Ela,7.076147,79.894932,Western,Sri Lanka
510,1,Kadawatha,7.0258,79.9882,Western,Sri Lanka
511,1,Kahatowita,7.0667,80.1167,Western,Sri Lanka
512,1,Kalagedihena,7.118004,80.058001,Western,Sri Lanka
513,1,Kaleliya,7.195,80.1136,Western,Sri Lanka
514,1,Kandana,7.05056,79.895123,Western,Sri Lanka
515,1,Katana,7.2517,79.9078,Western,Sri Lanka
516,1,Katudeniya,7.3,80.0833,Western,Sri Lanka
517,1,Katunayake,7.1647,79.8731,Western,Sri Lanka
518,1,Katunayake Air Force Camp,7.1407,79.8782,Western,Sri Lanka
519,1,KatunayakeFTZ,7.1407,79.8782,Western,Sri Lanka
520,1,Katuwellegama,7.208557,79.94572,Western,Sri Lanka
521,1,Kelaniya,6.956357,79.921431,Western,Sri Lanka
522,1,Kimbulapitiya,7.202265,79.908937,Western,Sri Lanka
523,1,Kirindiwela,7.044223,80.126707,Western,Sri Lanka
524,1,Kitalawalana,7.3,80.1,Western,Sri Lanka
525,1,Kochchikade,7.2581,79.8542,Western,Sri Lanka
526,1,Kotadeniyawa,7.279861,80.05581,Western,Sri Lanka
527,1,Kotugoda,7.1217,79.9297,Western,Sri Lanka
528,1,Kumbaloluwa,7.179375,80.082233,Western,Sri Lanka
529,1,Loluwagoda,7.294586,80.126624,Western,Sri Lanka
530,1,Mabodale,7.2,80.0167,Western,Sri Lanka
531,1,Madelgamuwa,7.110062,79.948175,Western,Sri Lanka
532,1,Makewita,7.1,79.9333,Western,Sri Lanka
533,1,Makola,6.983178,79.9525,Western,Sri Lanka
534,1,Malwana,6.951988,80.012561,Western,Sri Lanka
535,1,Mandawala,7.003066,80.097082,Western,Sri Lanka
536,1,Marandagahamula,7.2447,79.9696,Western,Sri Lanka
537,1,Mellawagedara,7.285808,80.023977,Western,Sri Lanka
538,1,Minuwangoda,7.176455,79.954904,Western,Sri Lanka
539,1,Mirigama,7.2414,80.1325,Western,Sri Lanka
540,1,Miriswatta,7.0711,80.0183,Western,Sri Lanka
541,1,Mithirigala,6.9648,80.0648,Western,Sri Lanka
542,1,Muddaragama,7.2167,80.05,Western,Sri Lanka
543,1,Mudungoda,7.064698,79.999092,Western,Sri Lanka
544,1,Mulleriyawa New Town,6.9301,80.0549,Western,Sri Lanka
545,1,Naranwala,7.001631,80.027404,Western,Sri Lanka
546,1,Nawana,7.270062,80.092618,Western,Sri Lanka
547,1,Nedungamuwa,7.05,80.0333,Western,Sri Lanka
548,1,Negombo,7.2086,79.8358,Western,Sri Lanka
549,1,Nikadalupotha,7.1167,80.1333,Western,Sri Lanka
550,1,Nikahetikanda,7.099089,80.179551,Western,Sri Lanka
551,1,Nittambuwa,7.144243,80.096178,Western,Sri Lanka
552,1,Niwandama,7.078762,79.928331,Western,Sri Lanka
553,1,Opatha,7.132037,79.921419,Western,Sri Lanka
554,1,Pamunugama,7.094359,79.844569,Western,Sri Lanka
555,1,Pamunuwatta,7.214678,80.139696,Western,Sri Lanka
556,1,Panawala,6.9833,80.0333,Western,Sri Lanka
557,1,Pasyala,7.172926,80.115911,Western,Sri Lanka
558,1,Peliyagoda,6.960977,79.878852,Western,Sri Lanka
559,1,Pepiliyawala,7.002342,80.128886,Western,Sri Lanka
560,1,Pethiyagoda,7.1167,80.0167,Western,Sri Lanka
561,1,Polpithimukulana,7.0444,79.8782,Western,Sri Lanka
562,1,Puwakpitiya,7.040498,80.064451,Western,Sri Lanka
563,1,Radawadunna,7.177279,80.141344,Western,Sri Lanka
564,1,Radawana,7.029871,80.100915,Western,Sri Lanka
565,1,Raddolugama,7.140656,79.898198,Western,Sri Lanka
566,1,Ragama,7.025281,79.917386,Western,Sri Lanka
567,1,Ruggahawila,7.0667,80.1167,Western,Sri Lanka
568,1,Seeduwa,7.132059,79.885024,Western,Sri Lanka
569,1,Siyambalape,6.964545,79.986406,Western,Sri Lanka
570,1,Talahena,7.1667,79.8167,Western,Sri Lanka
571,1,Thambagalla,7.1167,80.1333,Western,Sri Lanka
572,1,Thimbirigaskatuwa,7.2669,79.9495,Western,Sri Lanka
573,1,Tittapattara,6.9297,80.0889,Western,Sri Lanka
574,1,Udathuthiripitiya,7.075,80.0333,Western,Sri Lanka
575,1,Udugampola,7.1167,79.9833,Western,Sri Lanka
576,1,Uggalboda,7.135549,79.948259,Western,Sri Lanka
577,1,Urapola,7.104792,80.136935,Western,Sri Lanka
578,1,Uswetakeiyawa,7.031046,79.860339,Western,Sri Lanka
579,1,Veyangoda,7.156981,80.095842,Western,Sri Lanka
580,1,Walgammulla,7.071902,80.116511,Western,Sri Lanka
581,1,Walpita,7.258131,80.034704,Western,Sri Lanka
582,1,Walpola WP ,7.0418,79.9257,Western,Sri Lanka
583,1,Wathurugama,7.0421,80.0701,Western,Sri Lanka
584,1,Watinapaha,7.2,79.9833,Western,Sri Lanka
585,1,Wattala,6.990037,79.892207,Western,Sri Lanka
586,1,Weboda,7.0167,79.9833,Western,Sri Lanka
587,1,Wegowwa,7.178443,79.962063,Western,Sri Lanka
588,1,Weweldeniya,7.1834,80.1446,Western,Sri Lanka
589,1,Yakkala,7.1167,80.05,Western,Sri Lanka
590,1,Yatiyana,7.184998,79.931858,Western,Sri Lanka
655,1,Agalawatta,6.541499,80.155785,Western,Sri Lanka
656,1,Alubomulla,6.711977,79.965857,Western,Sri Lanka
657,1,Anguruwatota,6.6383,80.0861,Western,Sri Lanka
658,1,Atale,6.45,80.2667,Western,Sri Lanka
659,1,Baduraliya,6.523102,80.232371,Western,Sri Lanka
660,1,Bandaragama,6.710264,79.986087,Western,Sri Lanka
661,1,Batugampola,6.769068,80.142775,Western,Sri Lanka
662,1,Bellana,6.518936,80.183117,Western,Sri Lanka
663,1,Beruwala,6.4739,79.9842,Western,Sri Lanka
664,1,Bolossagama,6.62099,80.015288,Western,Sri Lanka
665,1,Bombuwala,6.5833,80.0167,Western,Sri Lanka
666,1,Boralugoda,6.438709,80.278799,Western,Sri Lanka
667,1,Bulathsinhala,6.666199,80.164896,Western,Sri Lanka
668,1,Danawala Thiniyawala,6.4333,80.2667,Western,Sri Lanka
669,1,Delmella,6.67833,80.210488,Western,Sri Lanka
670,1,Dharga Town,6.648,80.0089,Western,Sri Lanka
671,1,Diwalakada,6.696767,80.146983,Western,Sri Lanka
672,1,Dodangoda,6.555952,80.006847,Western,Sri Lanka
673,1,Dombagoda,6.661797,80.053343,Western,Sri Lanka
674,1,Ethkandura,6.4415,80.1807,Western,Sri Lanka
675,1,Galpatha,6.5983,80.0015,Western,Sri Lanka
676,1,Gamagoda,6.597103,80.005539,Western,Sri Lanka
677,1,Gonagalpura,6.6307,80.0169,Western,Sri Lanka
678,1,Gonapola Junction,6.6944,80.0333,Western,Sri Lanka
679,1,Govinna,6.663337,80.116274,Western,Sri Lanka
680,1,Gurulubadda,6.5333,80.2667,Western,Sri Lanka
681,1,Halkandawila,6.5167,80.0167,Western,Sri Lanka
682,1,Haltota,6.69554,80.02127,Western,Sri Lanka
683,1,Halvitigala Colony,6.5791,80.2233,Western,Sri Lanka
684,1,Halwala,6.416524,80.106562,Western,Sri Lanka
685,1,Halwatura,6.7,80.2,Western,Sri Lanka
686,1,Handapangoda,6.789746,80.140774,Western,Sri Lanka
687,1,Hedigalla Colony,6.5333,80.2667,Western,Sri Lanka
688,1,Henegama,6.7167,80.0333,Western,Sri Lanka
689,1,Hettimulla,6.461362,79.992643,Western,Sri Lanka
690,1,Horana,6.719389,80.061557,Western,Sri Lanka
691,1,Ittapana,6.42254,80.079501,Western,Sri Lanka
692,1,Kahawala,6.7833,80.1,Western,Sri Lanka
693,1,Kalawila Kiranthidiya,6.4619,80.0004,Western,Sri Lanka
694,1,Kalutara,6.581333,79.958546,Western,Sri Lanka
695,1,Kananwila,6.7667,80.05,Western,Sri Lanka
696,1,Kandanagama,6.7667,80.0778,Western,Sri Lanka
697,1,Kelinkanda,6.587128,80.29322,Western,Sri Lanka
698,1,Kitulgoda,6.5167,80.1833,Western,Sri Lanka
699,1,Koholana,6.618149,79.989353,Western,Sri Lanka
